Imam Abdulrahman Bin Faisal University,,Saudi Arabia,"[""iau.edu.sa""]","[""https://iau.edu.sa""]",SA
College of Technology at Abha,Abha,Saudi Arabia,"[""act.gotevot.edu.sa""]","[""http://www.act.gotevot.edu.sa/""]",SA
Alfaisal University,Riyadh,Saudi Arabia,"[""alfaisal.edu""]","[""http://www.alfaisal.edu/""]",SA
Knowledge International University,Riyadh,Saudi Arabia,"[""almaarifah.com""]","[""http://www.almaarifah.com/""]",SA
Al-Yamamah College,Riyadh,Saudi Arabia,"[""alyamamah.edu.sa""]","[""http://www.alyamamah.edu.sa/""]",SA
Arab Open University,Riyadh,Saudi Arabia,"[""arabou.edu.sa""]","[""http://www.arabou.edu.sa/""]",SA
Batterjee Medical College,Jeddah,Saudi Arabia,"[""bmc.edu.sa""]","[""http://www.bmc.edu.sa/""]",SA
Buraydah College for Applied Medical Sciences,Buraidah,Saudi Arabia,"[""bpc.edu.sa""]","[""http://www.bpc.edu.sa/""]",SA
Al-baha University,Abha,Saudi Arabia,"[""bu.edu.sa""]","[""http://www.bu.edu.sa/""]",SA
College of Busniess Admnistration,Jeddah,Saudi Arabia,"[""cba.edu.sa""]","[""http://www.cba.edu.sa/""]",SA
College of Telecommunication & Information,Riyadh,Saudi Arabia,"[""cti.edu.sa""]","[""http://www.cti.edu.sa/""]",SA
Dar al Hekma College,Jeddah,Saudi Arabia,"[""dah.edu.sa""]","[""http://www.dah.edu.sa""]",SA
Dar Al-Uloom Colleges,Riyadh,Saudi Arabia,"[""dau.edu.sa""]","[""http://www.dau.edu.sa/""]",SA
Dammam Community College,Dammam,Saudi Arabia,"[""dcc.edu.sa""]","[""http://www.dcc.edu.sa/""]",SA
College of Technology at Dammam,Dammam,Saudi Arabia,"[""dct.gotevot.edu.sa""]","[""http://www.dct.gotevot.edu.sa/""]",SA
Effat College,Jeddah,Saudi Arabia,"[""effatcollege.edu.sa""]","[""http://www.effatcollege.edu.sa/""]",SA
Fahad Bin Sultan University,Tabuk,Saudi Arabia,"[""fbsc.edu.sa""]","[""http://www.fbsc.edu.sa/""]",SA
Ibn Sina National College for Medical Studies,Jeddah,Saudi Arabia,"[""ibnsina.edu.sa""]","[""http://www.ibnsina.edu.sa/""]",SA
Al-Imam Mohamed Ibn Saud Islamic University,Riyadh,Saudi Arabia,"[""imamu.edu.sa""]","[""http://www.imamu.edu.sa/""]",SA
Institute of Public Administration,Dammam,Saudi Arabia,"[""ipa.edu.sa""]","[""http://www.ipa.edu.sa/""]",SA
Islamic University of Medinah,Medinah,Saudi Arabia,"[""iu.edu.sa""]","[""http://www.iu.edu.sa/""]",SA
Jazan University,Jazan,Saudi Arabia,"[""jazanu.edu.sa""]","[""http://www.jazanu.edu.sa/""]",SA
College of Technology at Jeddah,Jeddah,Saudi Arabia,"[""jct.edu.sa""]","[""http://www.jct.edu.sa/""]",SA
Jubail Industrial College,Jubail,Saudi Arabia,"[""jic.edu.sa""]","[""http://www.jic.edu.sa/""]",SA
Aljouf University,Aljouf,Saudi Arabia,"[""ju.edu.sa""]","[""http://www.ju.edu.sa/""]",SA
King Abdulaziz University,Jeddah,Saudi Arabia,"[""kau.edu.sa""]","[""http://www.kau.edu.sa/""]",SA
King Abdullah University of Science and Technology,Aljouf,Saudi Arabia,"[""kaust.edu.sa""]","[""http://www.kaust.edu.sa/""]",SA
College of Technology at Kharj,Al-Kharj,Saudi Arabia,"[""kct.gotevot.edu.sa""]","[""http://kct.gotevot.edu.sa/""]",SA
King Fahd Security College,Riyadh,Saudi Arabia,"[""kfsc.edu.sa""]","[""http://www.kfsc.edu.sa/""]",SA
King Faisal University,Al-Ahsa,Saudi Arabia,"[""kfu.edu.sa""]","[""http://www.kfu.edu.sa/""]",SA
King Fahad University of Petroleum and Minerals,Dhahran,Saudi Arabia,"[""kfupm.edu.sa""]","[""http://www.kfupm.edu.sa/""]",SA
